Date,Open,High,Low,Close,Volume
4/30/2021,131.78,133.56,131.07,131.46,109839500
5/3/2021,132.04,134.07,131.83,132.54,75135100
5/4/2021,131.19,131.49,126.70,127.85,137564700
5/5/2021,129.20,130.45,127.97,128.10,84000900
5/6/2021,127.89,129.75,127.13,129.74,78128330
5/7/2021,130.85,131.26,129.48,130.21,78973270
5/10/2021,129.41,129.54,126.81,126.85,88071230
5/11/2021,123.50,126.27,122.77,125.91,126142800
5/12/2021,123.40,124.64,122.25,122.77,112172300
5/13/2021,124.58,126.15,124.26,124.97,105861300
5/14/2021,126.25,127.89,125.85,127.45,81917950
5/17/2021,126.82,126.93,125.17,126.27,74116550
5/18/2021,126.56,126.99,124.78,124.85,63342930
5/19/2021,123.16,124.92,122.86,124.69,92611990
5/20/2021,125.23,127.72,125.10,127.31,76857120
5/21/2021,127.82,128.00,125.21,125.43,79295440
5/24/2021,126.01,127.94,125.94,127.10,63092950
5/25/2021,127.82,128.32,126.32,126.90,72009480
5/26/2021,126.96,127.39,126.42,126.85,56575920
5/27/2021,126.44,127.64,125.08,125.28,94625600
5/28/2021,125.57,125.80,124.55,124.61,71311110
6/1/2021,125.08,125.35,123.94,124.28,67637120
6/2/2021,124.28,125.24,124.05,125.06,59278860
6/3/2021,124.68,124.85,123.13,123.54,76229170
6/4/2021,124.07,126.16,123.85,125.89,75169340
6/7/2021,126.17,126.32,124.83,125.90,71057550
6/8/2021,126.60,128.46,126.21,126.74,74403770
6/9/2021,127.21,127.75,126.52,127.13,56877940
6/10/2021,127.02,128.19,125.94,126.11,71186420
6/11/2021,126.53,127.44,126.10,127.35,53522370
6/14/2021,127.82,130.54,127.07,130.48,96906490
6/15/2021,129.94,130.60,129.39,129.64,62746330
6/16/2021,130.37,130.89,128.46,130.15,91815030
6/17/2021,129.80,132.55,129.65,131.79,96721670
6/18/2021,130.71,131.51,130.24,130.46,108953300
6/21/2021,130.30,132.41,129.21,132.30,79663320
6/22/2021,132.13,134.08,131.62,133.98,74783620
6/23/2021,133.77,134.32,133.23,133.70,60214200
6/24/2021,134.45,134.64,132.93,133.41,68711000
6/25/2021,133.46,133.89,132.81,133.11,70783750
6/28/2021,133.41,135.25,133.35,134.78,62111300
6/29/2021,134.80,136.49,134.35,136.33,64556080
6/30/2021,136.17,137.41,135.87,136.96,63261390
7/1/2021,136.60,137.33,135.76,137.27,52485780
7/2/2021,137.90,140.00,137.75,139.96,78945570
7/6/2021,140.07,143.15,140.07,142.02,108181800
7/7/2021,143.54,144.89,142.66,144.57,104911600
7/8/2021,141.58,144.06,140.67,143.24,105575500
7/9/2021,142.75,145.65,142.65,145.11,99890800
7/12/2021,146.21,146.32,144.00,144.50,76299720
7/13/2021,144.03,147.46,143.63,145.64,100827100
7/14/2021,148.10,149.57,147.68,149.15,127050800
7/15/2021,149.24,150.00,147.09,148.48,106820300
7/16/2021,148.46,149.76,145.88,146.39,93251430
7/19/2021,143.75,144.07,141.67,142.45,121434600
7/20/2021,143.46,147.10,142.96,146.15,96350040
7/21/2021,145.53,146.13,144.63,145.40,74993460
7/22/2021,145.94,148.20,145.81,146.80,77338160
7/23/2021,147.55,148.72,146.92,148.56,71447420
7/26/2021,148.27,149.83,147.70,148.99,72434090
7/27/2021,149.12,149.21,145.55,146.77,104818600
7/28/2021,144.81,146.97,142.54,144.98,118931200
7/29/2021,144.69,146.55,144.58,145.64,56699480
7/30/2021,144.38,146.33,144.11,145.86,70440630
8/2/2021,146.36,146.95,145.25,145.52,62879960
8/3/2021,145.81,148.05,145.18,147.36,64786620
8/4/2021,147.27,147.79,146.28,146.95,56368270
8/5/2021,146.98,147.84,146.17,147.06,46397670
8/6/2021,146.35,147.11,145.63,146.14,54126810
8/9/2021,146.20,146.70,145.52,146.09,48908690
8/10/2021,146.44,147.71,145.30,145.60,69023080
8/11/2021,146.05,146.72,145.53,145.86,48493460
8/12/2021,146.19,149.05,145.84,148.89,73779110
8/13/2021,148.97,149.44,148.27,149.10,59375010
8/16/2021,148.54,151.19,146.47,151.12,103558800
8/17/2021,150.23,151.68,149.09,150.19,92229740
8/18/2021,149.80,150.72,146.15,146.36,86325990
8/19/2021,145.03,148.00,144.50,146.70,86960310
8/20/2021,147.44,148.50,146.78,148.19,60549630
8/23/2021,148.31,150.19,147.89,149.71,60131810
8/24/2021,149.45,150.86,149.15,149.62,48606430
8/25/2021,149.81,150.32,147.80,148.36,58991300
8/26/2021,148.35,149.12,147.51,147.54,48597200
8/27/2021,147.48,148.75,146.83,148.60,55802390
8/30/2021,149.00,153.49,148.61,153.12,90956720
8/31/2021,152.66,152.80,151.29,151.83,86453120
9/1/2021,152.83,154.98,152.34,152.51,80313710
9/2/2021,153.87,154.72,152.40,153.65,71171320
9/3/2021,153.76,154.63,153.09,154.30,57866070
9/7/2021,154.97,157.26,154.39,156.69,82278260
9/8/2021,156.98,157.04,153.98,155.11,74420210
9/9/2021,155.49,156.11,153.95,154.07,57305730
9/10/2021,155.00,155.48,148.70,148.97,140893200
9/13/2021,150.63,151.42,148.75,149.55,102404300
9/14/2021,150.35,151.07,146.91,148.12,109296300
9/15/2021,148.56,149.44,146.37,149.03,83281320
9/16/2021,148.44,148.97,147.22,148.79,68034150
9/17/2021,148.82,148.82,145.76,146.06,129868800
9/20/2021,143.80,144.84,141.27,142.94,123478900
9/21/2021,143.93,144.60,142.78,143.43,75833960
9/22/2021,144.45,146.43,143.70,145.85,76404340
9/23/2021,146.65,147.08,145.64,146.83,64838170
9/24/2021,145.66,147.47,145.56,146.92,53477870
9/27/2021,145.47,145.96,143.82,145.37,74150730
9/28/2021,143.25,144.75,141.69,141.91,108972300
9/29/2021,142.47,144.45,142.03,142.83,74602040
9/30/2021,143.66,144.38,141.28,141.50,89056660
10/1/2021,141.90,142.92,139.11,142.65,94639580
10/4/2021,141.76,142.21,138.27,139.14,98322010
10/5/2021,139.49,142.24,139.36,141.11,80861060
10/6/2021,139.47,142.15,138.37,142.00,83221120
10/7/2021,143.06,144.22,142.72,143.29,61732660
10/8/2021,144.03,144.18,142.56,142.90,58773160
10/11/2021,142.27,144.81,141.81,142.81,64452220
10/12/2021,143.23,143.25,141.04,141.51,73035860
10/13/2021,141.24,141.40,139.20,140.91,78762720
10/14/2021,142.11,143.88,141.51,143.76,69907100
10/15/2021,143.77,144.90,143.51,144.84,67940330
10/18/2021,143.45,146.84,143.16,146.55,85589180
10/19/2021,147.01,149.17,146.55,148.76,76378890
10/20/2021,148.70,149.75,148.12,149.26,58418790
10/21/2021,148.81,149.64,147.87,149.48,61420990
10/22/2021,149.69,150.18,148.64,148.69,58883440
10/25/2021,148.68,149.37,147.62,148.64,50720560
10/26/2021,149.33,150.84,149.01,149.32,60893400
10/27/2021,149.36,149.73,148.49,148.85,56094930
10/28/2021,149.82,153.17,149.72,152.57,100077900
10/29/2021,147.22,149.94,146.41,149.80,124953200
11/1/2021,148.99,149.70,147.80,148.96,74588260
11/2/2021,148.66,151.57,148.65,150.02,69121990
11/3/2021,150.39,151.97,149.82,151.49,54511530
11/4/2021,151.58,152.43,150.64,150.96,60394620
11/5/2021,151.89,152.20,150.06,151.28,65463880
11/8/2021,151.41,151.57,150.16,150.44,55020870
11/9/2021,150.20,151.43,150.06,150.81,56787930
